order,video_id,Location,Other locations,Activity,Other activities,Activity center,Video description accuracy (1-5),Location not in schema,Activity not in schema
310,310_00400001_2023-09-24_3_d1a53f5c6d_processed_023.mp4,,,,,,,,
311,311_00400003_2024-06-13_1_3845cce317_processed_050.mp4,,,,,,,,
312,312_00240001_2023-11-05_1_708bf351d3_processed_110.mp4,,,,,,,,
313,313_00220001_2024-02-28_1_4736fbdc91_processed_036.mp4,,,,,,,,
314,314_00400001_2023-10-09_1-1_d62387ebb5_processed_046.mp4,,,,,,,,
315,315_00370002_2024-04-21_1_c47c932cfc_processed_016.mp4,,,,,,,,
316,316_00350001_2023-12-03_2_6bdf04420e_processed_031.mp4,,,,,,,,
317,317_00370001_2024-01-02_1_cc4aa28ec5_processed_088.mp4,,,,,,,,
318,318_00500001_2024-01-01_3_d53f68c2ab_processed_022.mp4,,,,,,,,
319,319_00240001_2024-01-20_1_4ab7eb6c03_processed_094.mp4,,,,,,,,
320,320_00510001_2024-04-13_1_debe5c00a1_processed_008.mp4,,,,,,,,
321,321_00320002_2024-04-19_1_d5e2abd789_processed_071.mp4,,,,,,,,
322,322_00370002_2024-09-16_1_75cd1a9250_processed_002.mp4,,,,,,,,
323,323_00370002_2024-09-06_1_1792ef172b_processed_050.mp4,,,,,,,,
324,324_00360001_2024-11-29_3_7a75067b13_processed_024.mp4,,,,,,,,
325,325_00510001_2024-04-13_1_95f779263c_processed_037.mp4,,,,,,,,
326,326_00320002_2024-02-12_1_ef72700be0_processed_058.mp4,,,,,,,,
327,327_00720001_2023-09-17_3_271d7edea2_processed_078.mp4,,,,,,,,
328,328_00320002_2024-08-18_1_41b19ba821_processed_024.mp4,,,,,,,,
329,329_00590001_2024-08-11_1_5209fccdef_processed_040.mp4,,,,,,,,
330,330_00220001_2024-02-06_1_76e528a693_processed_003.mp4,,,,,,,,
331,331_00820001_2023-05-09_1_6eafde3b89_processed_037.mp4,,,,,,,,
332,332_00420001_2024-08-04_1_da49b072ad_processed_034.mp4,,,,,,,,
333,333_00420001_2024-07-07_1_d737b1fc94_processed_008.mp4,,,,,,,,
334,334_00320002_2024-12-01_1_e493905ddd_processed_033.mp4,,,,,,,,
335,335_00400001_2023-10-01_1_40a107f012_processed_081.mp4,,,,,,,,
336,336_00400002_2024-08-18_2_8f756076b6_processed_020.mp4,,,,,,,,
337,337_00400001_2023-10-17_1_26e878bd5d_processed_022.mp4,,,,,,,,
338,338_00240001_2023-11-10_2_ccafc7e804_processed_115.mp4,,,,,,,,
339,339_00400001_2023-06-12_1_481c73b219_processed_041.mp4,,,,,,,,
340,340_00430001_2024-01-29_1_d2deb81762_processed_083.mp4,,,,,,,,
341,341_00400003_2024-02-11_3_7ba2414509_processed_033.mp4,,,,,,,,
342,342_00590001_2024-09-08_1_2a6d3a36c4_processed_026.mp4,,,,,,,,
343,343_00370002_2024-10-13_1_42c5e66092_processed_067.mp4,,,,,,,,
344,344_00320001_2024-10-20_4_89de9fca76_processed_011.mp4,,,,,,,,
345,345_00320003_2024-10-27_1_3a51282527_processed_001.mp4,,,,,,,,
346,346_00400001_2024-08-10_2_1c50e2051e_processed_028.mp4,,,,,,,,
347,347_00420001_2024-07-28_1_4cdf291081_processed_009.mp4,,,,,,,,
348,348_00400001_2024-03-17_3_4fcde2be61_processed_073.mp4,,,,,,,,
349,349_00680001_2023-04-25_2_18b1c0c8d7_processed_006.mp4,,,,,,,,
350,350_00430002_2024-05-20_2_59b9926d28_processed_058.mp4,,,,,,,,
